Model,Price,Spec
"realme 9 (Stargaze White, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 6 Pro (Lightning Orange, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C2 (Diamond Black, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C2 (Diamond Blue, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 9 (Meteor Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 7 (Mist White, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 7 (Mist White, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 20A (Glory Silver, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 2 Pro (Black Sea, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme GT NEO 3 (150W) (Sprint White, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme GT NEO 3 (150W) (Asphalt Black, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme Narzo 20A (Glory Silver, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 20 Pro (Black Ninja, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C25_Y (Glacier Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme C25_Y (Metal Grey, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme Narzo 50A (Oxygen Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C21Y (Cross Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A Prime (Flash Black, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM
"realme 5 (Crystal Purple, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C21Y (Cross Black, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Purple, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Purple, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
